0,459,0
0,478,0
0,1818,1
0,458,0
0,1817,1
0,1819,1
0,484,0
0,610,0
0,894,0
0,630,0
0,493,0
1,146,0
1,21,0
1,1709,0
1,469,0
1,506,1
1,76,0
1,1754,0
1,1895,0
1,37,0
1,118,0
1,1848,0
1,486,0
1,662,0
1,55,0
2,30,0
2,52,0
3,316,0
5,376,0
5,440,1
5,571,0
5,532,0
5,274,0
5,485,1
5,329,1
5,622,1
6,5204,1
6,3811,1
6,3223,1
6,4961,1
6,5105,1
6,3318,0
6,5232,1
6,5172,1
6,5135,1
6,5182,1
6,5157,1
6,5200,1
6,5199,1
6,5317,1
6,5270,1
6,5038,1
6,2979,1
6,5010,1
6,3206,1
6,5136,1
6,5111,1
6,5231,1
6,5173,1
6,5155,1
6,5002,1
6,5106,1
6,5131,1
6,5140,1
6,5215,1
6,5260,1
6,4989,1
6,5170,1
6,5058,1
6,5128,1
6,5153,1
6,5033,1
6,3337,1
6,4987,1
6,5032,1
6,3398,1
6,5086,1
6,5036,1
6,5088,1
6,5151,1
6,5318,1
6,5156,1
6,3279,1
6,5072,0
6,5061,1
6,5044,1
6,5247,1
6,5064,1
6,5208,1
6,5193,1
6,5143,1
6,5222,1
6,5282,1
6,5077,1
6,5184,1
6,5285,1
6,5089,1
6,5099,1
6,5186,1
6,5103,1
6,5210,1
6,5049,1
6,5090,1
6,5233,1
6,5340,1
6,5191,1
6,5050,1
6,5109,1
6,3168,1
6,3344,1
6,5259,1
6,5127,1
6,5279,1
6,5160,1
6,4962,1
6,5334,1
6,5040,1
6,5112,1
6,5219,1
6,5249,1
6,5006,1
6,5180,1
6,5097,1
6,5031,1
6,5251,1
6,5185,1
6,5082,1
6,3338,1
6,4968,0
6,5129,1
6,5188,1
6,5007,1
6,5081,1
6,5126,1
6,5183,1
6,5229,1
6,5137,1
6,5013,1
6,5250,1
6,4988,1
6,4960,1
6,4946,0
6,2962,1
6,5054,1
6,5230,1
6,5039,1
6,3430,1
6,5234,1
6,5124,1
6,5083,1
6,5035,1
6,5147,1
6,5174,1
6,5142,1
6,3584,0
6,5258,1
6,3105,1
6,5085,1
6,4992,1
6,5125,1
